part	test	score	sha8	preview
P2	bifid5_key=std_per10	0	c75bb850	akfrfpbdbhbgazfgfkawakfgbxgnglbhabakgabqanasahbgfbgbakaxawfkarblgqbggdfkafawaz
P2	bifid5_key=std_per13	0	86cebb14	bfkrimcabfewbgfbwgfewcgcvebgflimhabfebahaclcrbfbgfabbvevifhgdvbmabfkakakffqgfe
P2	bifid5_key=std_per26	0	249fefbf	bgfugmaeagazagawgrfpbhbxfkbffnfofbagbaahfcasgmagbvfbawbvgfggbybmagazauapfqagfe
P2	bifid5_key=std_per5	0	9e0000f1	cffqgewdgcbgbvkgfevbeghgccwcgfbgaadkmagablbracmblbkaegbhfbvedqbmfaggbikfefebae
P2	bifid5_key=std_per7	0	a8f14799	afgqklbbvkrgmbbvkfbvbhfevgmhflgbafdfmafcvicfcfhbbefkbbgbevdlcgdagfbbgikfefavbe
P2	bifid5_key=std_per78	0	886a79ee	bffsfoabagbvahaxfsgmagbvfgfkazggbwakaxagakfiaxgofmbvagglglgbbibbagfeaufpafawfe
P2	bifid5_key=yourlastcommand_per10	0	1ab13927	beibiccuedenbkiuirbibeiuehksimedtubebzbmskdcdeenbweqbedkbiirbttpifenewirdnbibk
P2	bifid5_key=yourlastcommand_per13	0	8e85f80d	bbkeicsubbekniubkguekdediebbpthcdwbbcufevchecnbbbfwtbieihokrbitifbbewewkogbiue
P2	bifid5_key=yourlastcommand_per26	0	68f3029c	eniekatrbbbkbbbiknicedehirbfhcisbwbbtldedxdckabbbpbwbibpilkyeicgbbbkbctkhnbbbx
P2	bifid5_key=yourlastcommand_per5	0	b5a00bd9	ddgbiekbednenikiueibeehrddkdbpbbmudktfbftibtfckaiteweenkubicbttipfenxbkuebetue
P2	bifid5_key=yourlastcommand_per7	0	19b18d12	nbibkttbikegcnbikubibhueiichgtbwfbsptfdeidededexaebexneneisheebfbfxnebkuednibe
P2	bifid5_key=yourlastcommand_per78	0	3e1b0194	bfheistubbbpdedkhekabbbpiuirbkkyegbedkbbbeiodkktitbpbbimimeqebcybbbxbcicdnbibx
P2	big_decimal_a0	0	5e4b5685	..vA...&.r..9C.b3..h..~.}...N....
P2	big_decimal_a1	0	4e7823bf	.....5.P&.....&g.C..u,h..NmJ...1u
P4	structure	0	15d62c82	P4_len=570 body=564 odd=282 even=282 odd_charset=bcde even_charset=abcdefghiklmnopqrstuvwxyz
P4_even	vigenere_beau_bifid	0	9fa67de1	yutyduqyyajyklonboavlechqjfqcoovnqxyxswjhsffscxtdyjujyfhmfqhowcipktzspvqsqsiqftj
P4_even	vigenere_beau_btcseed	0	a461a332	yfqiexlujzaujgmfvbwwnxqbfmbovepfmmxyipgkknbqrttsywbowugjftkwrsabfldyopvbpatllbei
P4_even	vigenere_beau_lastwordsbeforearchichoice	0	9339f06c	imgjwhzwiymvtupmklzamdlhpmilmejbzlmytscxkkrzwjrvjdkqpquzaozhfpbfaapubobqppdpkewg
P4_even	vigenere_beau_matrixsumlist	0	83bc24df	jmhhiqanciqiyplfkrpkeiihfbjlncvkacgixfhsgdrfmtjagdafqqvxmxayzzfsfvlnburahuapatxg
P4_even	vigenere_beau_secondanswer	0	e49ebceb	pqqenwigitmhxhnagmsfcsbqfmzzhonaaeyohrqutnakhxtfnzkartctwwmvfszozmlhciyzfmrvvdlt
P4_even	vigenere_beau_sha256	0	164e11bd	ptoihtaaqppqxkleajkzkoezfpxdblfuiabxhuoynkseptwoncielqunespefvxstjdbkebifppzpadn
P4_even	vigenere_dec_bifid	0	1dcad797	cghcxgkccarcqpmnzmafpwytkrvkymmfnkdcdiertivviydhxcrgrcvtovktmeyslqhbilfkikiskvhr
P4_even	vigenere_dec_btcseed	0	5d6c9b7c	cvkswdpgrbagruovfzeendkzvozmfwlvoodcsluqqnzkjhhicezmegurvhqejiazvpxcmlfzlahppzws
P4_even	vigenere_dec_enter	0	f7b06319	zbtgjdfogmoxctykuyermrkxwoqwcyjazopzyuidqdhzuvytboobdghqjhofjzkwxncnmxcfuoupfhld
P4_even	vigenere_dec_lastwordsbeforearchichoice	0	a8da60f6	souretbescofhgloqpbaoxptlospowrzbpochiydqqjberjfrxqklkgbambtvlzvaalgzmzkllxlqweu
P4_even	vigenere_dec_matrixsumlist	0	1ea99ffa	rottskanysksclpvqjlqwsstvzrpnyfqayusdvtiuxjvohrauxavkkfdodacbbvivfpnzgjatgalahdu
P4_even	vigenere_dec_partfour	0	4db7a8db	oovrvtyqvdbrqjvxsrrplqjkysmwbbtwdspkgzsdfqjkglrvqfbvrwedhabdiyjjzrynlambysuanmvd
P4_even	vigenere_dec_secondanswer	0	9c2f3578	lkkwnesushotdtnauoivyizkvobbtmnaawcmtjkghnaqtdhvnbqajhyheeofvibmboptyscbvojffxph
P4_even	vigenere_dec_sha256	0	d3d335bd	lhmsthaakllkdqpwarqbqmwbvldxzpvgsazdtgmcnqiwlhemnyswpkgnwilwvfdihrxzqwzsvllblaxn
P4_even	vigenere_dec_thematrixhasyou	0	10f05a27	khiyaobznwssxjvvanwixnvegslrsvugoggkufpnuycprgeitfzxonruececufzooyyythgaperalwdu
P4_even	vigenere_dec_thispassword	0	25da0ada	kheslhapopbhcqhwsrqquqmyulvxrpvvwepasgecfqilplujmykwhkgcambtufvizrxouappuldbdaxc
P4_even	vigenere_dec_yourlastcommand	0	040edfd9	fastphaoipgyvkmqtxrxqmkzzgrptmpzybvdtukgieaqibxsouswdikikaftpyjjdrxnoaugnfivegyj
P4_even	vigenere_enc_bifid	0	4c020502	ewrsdiamsgtsafsppwqlrmijqtluosovxajetsuxvyfloatrnitwbsbvefazouiirsxlyrhasaouafxx
P4_even	vigenere_enc_btcseed	0	9a19fe43	ehocelvidfkozaqhjjmmtfwdfwhshipfwwjeepeyytbwnrpqiglqoocxxtuorqgbhthkurhlpkpxvbiw
P4_even	vigenere_enc_enter	0	885aeab7	hbforlfaouwxobgsukmzurwfewqikgralwxhygqlydthcdyfjwwbpopyjtwnrzwefvczufkfgwcxfttl
P4_even	vigenere_enc_secondanswer	0	fc1b4c58	vsoynksuczwbnbrcuuiviahsfwfdtsnakokudroihtaqdvpdxjucjnyhowwnfqfobuptikkjfwnhfdph
P4_even	vigenere_enc_sha256	0	69fbb5b5	vvmchhkokvzknepgorapqwkbfzdhnpfusknddummbqsklrsmxmsgdkqbwszwftdsvrhnqgnsfzllzahb
P4_even	vigenere_enc_thispassword	0	3863cc25	wvucphkzgrjnoexgwraamsuegzlhvpffogxgeuumjqsvhncpymaglkqmsojzgtlsdrhymcxvgztlhahm
P4_even	vigenere_enc_yourlastcommand	0	059f115c	bcgblhkamrewvksmvlztqwwdbepptslbmjrddgoigcaqoxzgwqsgpmmgiafzlaxrzrhzscsenforgugf
P4_odd	bacon_ones=b_inv=False	0	0486715a	ajcauiacaabnqwjqabbagasfrfqaaieaimabcaaajaabnifiebgaaaqa
P4_odd	bacon_ones=b_inv=True	0	7d40110c	?w??lx?????spjwp????z?n?o?p??x??xt??????w???sx?x??z???p?
P4_odd	bacon_ones=bc_inv=False	0	196240be	cnt?vnnloed?q?jqn?pe?a?ntv?qglug?nadsysanm?z?iv?pjhymawa
P4_odd	bacon_ones=bc_inv=True	0	6e1088d7	?smckssur??cpawpsaq?b?fsmkepzulzas??nhn?stbgcxkbqwyht?j?
P4_odd	bacon_ones=bcd_inv=False	0	e529fc10	s???x????vp?r?jxn??e?f?nxv?v?l?x??b??zxfno????v???x??v?p
P4_odd	bacon_ones=bcd_inv=True	0	c1ca1d42	naaaiacebkqcoawisaa?b?asikekbuaiac?ebgi?sraaadkbaeiaakaq
P4_odd	bacon_ones=bce_inv=False	0	24e295d3	pnt??npppot????y??p?????????h?uo?p?ht??????z?l??pnpymkwq
P4_odd	bacon_ones=bce_inv=True	0	813014fa	qsmccsqqqrmabaahaaqaaffaeaafyalraqbymbffacbgcuaaqsqhtvjp
P4_odd	bacon_ones=bd_inv=False	0	be5cddc5	q?ocw?qsqrnnrwjxabragfxfvfqfyipri?bzobffjcbhp?fiutwhtvzp
P4_odd	bacon_ones=bd_inv=True	0	96b96d80	per?jfpnpossojwi??o?z?i?k?p?hxqoxd?gr???w??yqd?xlmjymkgq
P4_odd	bacon_ones=bde_inv=False	0	b574a47b	??oc??swr??p?w??sbr?h?xx?pupz?pzi???phn??tbhp?pjux?ht?z?
P4_odd	bacon_ones=bde_inv=True	0	3f4f74af	cer?bfnjoecqajaan?oeyaiicqlqgdqgxbacqysaem?yqaqwlibymaga
P4_odd	bacon_ones=be_inv=False	0	a8a3b982	njca?icgbkrp?w?ysbb?h?sxzpukb?eiio?fdgi??rabnlpjefoaakqq
P4_odd	bacon_ones=be_inv=True	0	cb5cd47a	sw??dx?z?voqbjahn??eyfnigqlv?d?xxrb??zxfeo??suqw??r??vpp
P4_odd	bacon_ones=c_inv=False	0	3f4f74af	cer?bfnjoecqajaan?oeyaiicqlqgdqgxbacqysaem?yqaqwlibymaga
P4_odd	bacon_ones=c_inv=True	0	b574a47b	??oc??swr??p?w??sbr?h?xx?pupz?pzi???phn??tbhp?pjux?ht?z?
P4_odd	bacon_ones=cd_inv=False	0	cb5cd47a	sw??dx?z?voqbjahn??eyfnigqlv?d?xxrb??zxfeo??suqw??r??vpp
P4_odd	bacon_ones=cd_inv=True	0	a8a3b982	njca?icgbkrp?w?ysbb?h?sxzpukb?eiio?fdgi??rabnlpjefoaakqq
P4_odd	bacon_ones=cde_inv=False	0	7d40110c	?w??lx?????spjwp????z?n?o?p??x??xt??????w???sx?x??z???p?
P4_odd	bacon_ones=cde_inv=True	0	0486715a	ajcauiacaabnqwjqabbagasfrfqaaieaimabcaaajaabnifiebgaaaqa
P4_odd	bacon_ones=ce_inv=False	0	96b96d80	per?jfpnpossojwi??o?z?i?k?p?hxqoxd?gr???w??yqd?xlmjymkgq
P4_odd	bacon_ones=ce_inv=True	0	be5cddc5	q?ocw?qsqrnnrwjxabragfxfvfqfyipri?bzobffjcbhp?fiutwhtvzp
P4_odd	bacon_ones=d_inv=False	0	813014fa	qsmccsqqqrmabaahaaqaaffaeaafyalraqbymbffacbgcuaaqsqhtvjp
P4_odd	bacon_ones=d_inv=True	0	24e295d3	pnt??npppot????y??p?????????h?uo?p?ht??????z?l??pnpymkwq
P4_odd	bacon_ones=de_inv=False	0	6e1088d7	?smckssur??cpawpsaq?b?fsmkepzulzas??nhn?stbgcxkbqwyht?j?
P4_odd	bacon_ones=de_inv=True	0	196240be	cnt?vnnloed?q?jqn?pe?a?ntv?qglug?nadsysanm?z?iv?pjhymawa
P4_odd	bacon_ones=e_inv=False	0	c1ca1d42	naaaiacebkqcoawisaa?b?asikekbuaiac?ebgi?sraaadkbaeiaakaq
P4_odd	bacon_ones=e_inv=True	0	e529fc10	s???x????vp?r?jxn??e?f?nxv?v?l?x??b??zxfno????v???x??v?p
